FunctionalLoc,resources_id,id
1800-1811-B2L2-P210-R214-BL04 BL04 BALL VALVE REAKTOR R214,6,319
1800-1811-B2L2-P210-R214-BL05 BL05 BALL VALVE REAKTOR R214,6,320
1800-1811-B2L2-P210-R214-BL06 BL06 BALL VALVE REAKTOR R214,6,321
1800-1811-B2L2-P220-P221-BL01 BL01 BALL VALVE POMPA P221,6,322
1800-1811-B2L2-P220-P221-BL02 BL02 BALL VALVE POMPA P221,6,323
1800-1811-B2L2-P220-P221-BL03 BL03 BALL VALVE POMPA P221,6,324
1800-1811-B2L2-P220-P221-BL04 BL04 BALL VALVE POMPA P221,6,325
1800-1811-B2L2-P220-P221-BL05 BL05 BALL VALVE POMPA P221,6,326
1800-1811-B2L2-P220-P222-BL01 BL01 BALL VALVE POMPA P222,6,327
1800-1811-B2L2-P220-P222-BL02 BL02 BALL VALVE POMPA P222,6,328
1800-1811-B2L2-P220-P222-BL03 BL03 BALL VALVE POMPA P222,6,329
1800-1811-B2L2-P220-P222-BL04 BL04 BALL VALVE POMPA P222,6,330
1800-1811-B2L2-P220-P222-BL05 BL05 BALL VALVE POMPA P222,6,331
1800-1811-B2L2-P220-V221-BL01 BL01 BALL VALVE TANKI V221,6,332
